composer_id,technique_id,reason,strength,confidence,status
girolamo-frescobaldi-1583,counterpoint,"Frescobaldi extensively used counterpoint in his keyboard and vocal compositions, reflecting the polyphonic style of the late Renaissance and early Baroque periods.",0.90,1.00,pending
girolamo-frescobaldi-1583,ground-bass,"He employed ground bass patterns as a structural foundation in many of his toccatas and variations, a common Baroque compositional device.",0.70,0.90,pending
girolamo-frescobaldi-1583,theme-and-variations,"Frescobaldi composed variations on themes, showcasing his skill in elaborating and transforming melodic material.",0.60,0.90,pending
girolamo-frescobaldi-1583,modalism,"His music often reflects modal tonalities characteristic of the early Baroque era, before the full establishment of tonal harmony.",0.80,1.00,pending
girolamo-frescobaldi-1583,ostinato,"Repetitive ostinato figures appear in his keyboard works, providing rhythmic and harmonic stability.",0.60,0.80,pending
orlando-gibbons-1583,counterpoint,"Orlando Gibbons extensively used intricate counterpoint in his choral and keyboard works, reflecting the Renaissance polyphonic tradition.",0.90,1.00,pending
orlando-gibbons-1583,cantus-firmus,"He employed cantus firmus technique in some of his sacred compositions, using a pre-existing melody as the structural basis.",0.60,0.80,pending
orlando-gibbons-1583,modalism,"Gibbons composed within modal frameworks typical of late Renaissance and early Baroque music, using church modes rather than tonal harmony.",0.80,1.00,pending
orlando-gibbons-1583,ground-bass,"He used ground bass patterns in some keyboard and vocal works to provide a repeating harmonic foundation.",0.50,0.70,pending
orlando-gibbons-1583,ostinato,"Ostinato figures appear in his keyboard music, creating rhythmic and harmonic repetition.",0.50,0.70,pending
heinrich-schutz-1585,counterpoint,"Schütz extensively used counterpoint in his vocal and choral compositions, reflecting the influence of the Renaissance polyphonic tradition.",0.90,1.00,pending
heinrich-schutz-1585,cantus-firmus,"He employed cantus firmus techniques in some of his sacred works, using pre-existing melodies as structural foundations.",0.60,0.80,pending
heinrich-schutz-1585,modalism,"Modal techniques were central to Schütz's harmonic language, as he composed during the transition from modal to tonal systems.",0.80,1.00,pending
heinrich-schutz-1585,ostinato,"Schütz occasionally used ostinato patterns to provide rhythmic and harmonic grounding in his compositions.",0.40,0.70,pending
heinrich-schutz-1585,ground-bass,"He utilized ground bass patterns in some sacred and secular works, a common Baroque compositional device.",0.50,0.80,pending
heinrich-schutz-1585,through-composed,"Many of Schütz's vocal works are through-composed, avoiding strict repetition to follow the text's expressive needs.",0.70,0.90,pending
jean-baptiste-lully-1632,counterpoint,"Lully employed counterpoint in his sacred and theatrical compositions to create intricate polyphonic textures typical of Baroque music.",0.70,0.90,pending
jean-baptiste-lully-1632,ground-bass,"He used ground bass patterns as a structural foundation in some of his instrumental and vocal works, a common Baroque compositional device.",0.50,0.80,pending
jean-baptiste-lully-1632,ostinato,"Ostinato figures were frequently used in Lully's dance music and operatic overtures to provide rhythmic drive and continuity.",0.60,0.85,pending
jean-baptiste-lully-1632,theme-and-variations,"Lully occasionally employed theme and variations in his instrumental suites and ballets to develop musical ideas.",0.40,0.70,pending
jean-baptiste-lully-1632,modalism,"His music reflects modal influences characteristic of the early Baroque period, blending modal and emerging tonal practices.",0.30,0.75,pending
marc-antoine-charpentier-1636,counterpoint,"Charpentier extensively used counterpoint in his sacred and secular vocal compositions, reflecting the Baroque style's emphasis on polyphonic texture.",0.90,1.00,pending
marc-antoine-charpentier-1636,ground-bass,"He employed ground bass patterns as a structural foundation in many of his vocal and instrumental works, a common Baroque compositional device.",0.70,0.90,pending
marc-antoine-charpentier-1636,cantus-firmus,"Charpentier used cantus firmus technique in some of his sacred music, integrating pre-existing melodies as a basis for polyphonic elaboration.",0.50,0.80,pending
marc-antoine-charpentier-1636,modalism,"His music often reflects modal influences, consistent with the transitional period between Renaissance modal and Baroque tonal practices.",0.60,0.85,pending
marc-antoine-charpentier-1636,ostinato,"Ostinato figures appear in Charpentier's compositions to create rhythmic and harmonic continuity, especially in instrumental and vocal dance movements.",0.60,0.80,pending
marc-antoine-charpentier-1636,theme-and-variations,"Charpentier occasionally used theme and variations form to develop melodic material in instrumental suites and vocal works.",0.40,0.70,pending
dietrich-buxtehude-1637,counterpoint,"Buxtehude extensively used counterpoint in his organ and vocal works, employing intricate interweaving of independent melodic lines typical of Baroque music.",0.90,1.00,pending
dietrich-buxtehude-1637,cantus-firmus,"He often based compositions on a cantus firmus, especially in his vocal and organ works, using a fixed melody as the structural foundation.",0.70,0.90,pending
dietrich-buxtehude-1637,ostinato,"Buxtehude used ostinato patterns, particularly in his chaconnes and passacaglias, repeating bass lines to create harmonic and rhythmic structure.",0.80,1.00,pending
dietrich-buxtehude-1637,ground-bass,"He frequently employed ground bass techniques, especially in his organ works, where a repeating bass line underpins variations above.",0.80,1.00,pending
dietrich-buxtehude-1637,modalism,"Buxtehude's music reflects modal influences, as he composed during the transition from modal to tonal systems, often using church modes in his compositions.",0.60,0.90,pending
dietrich-buxtehude-1637,theme-and-variations,"He composed works based on theme and variations, elaborating melodic material through successive transformations, especially in keyboard music.",0.70,0.95,pending
heinrich-franz-von-biber-1644,counterpoint,"Biber extensively used intricate counterpoint in his polyphonic compositions, especially in his sacred music and violin works.",0.90,1.00,pending
heinrich-franz-von-biber-1644,ground-bass,"He employed ground bass patterns as a structural foundation in several instrumental and vocal pieces.",0.70,0.90,pending
heinrich-franz-von-biber-1644,theme-and-variations,"Biber composed works featuring theme and variations, notably in his violin sonatas and partitas.",0.60,0.80,pending
heinrich-franz-von-biber-1644,modalism,"His music often reflects modal tonalities characteristic of the late Renaissance and early Baroque periods.",0.80,0.90,pending
heinrich-franz-von-biber-1644,ostinato,"Biber used ostinato figures to create rhythmic and harmonic continuity in his compositions.",0.60,0.80,pending
heinrich-franz-von-biber-1644,cantus-firmus,"He incorporated cantus firmus techniques in some of his sacred vocal works, layering pre-existing melodies.",0.50,0.70,pending
johann-pachelbel-1653,ground-bass,"Pachelbel famously used a repeating bass line as the foundation for variations, most notably in his Canon in D.",1.00,1.00,pending
johann-pachelbel-1653,ostinato,"He employed persistent repeated motifs, especially in the bass, to create structural coherence.",0.90,1.00,pending
johann-pachelbel-1653,counterpoint,"Pachelbel was a master of contrapuntal writing, weaving independent melodic lines together in his compositions.",0.90,1.00,pending
johann-pachelbel-1653,cantus-firmus,"He often used a fixed melody as a structural basis in his sacred vocal and keyboard works.",0.70,0.90,pending
johann-pachelbel-1653,theme-and-variations,"Pachelbel composed variations on themes, elaborating melodic and harmonic material over a repeated structure.",0.80,0.90,pending
johann-pachelbel-1653,modalism,"His music frequently employs modal scales and harmonies characteristic of the Baroque transitional style.",0.60,0.80,pending
arcangelo-corelli-1653,counterpoint,"Corelli extensively used counterpoint in his trio sonatas and concerti grossi, weaving independent melodic lines together.",0.90,1.00,pending
arcangelo-corelli-1653,ground-bass,"He employed ground bass patterns as a structural foundation in some of his works, typical of Baroque practice.",0.60,0.90,pending
arcangelo-corelli-1653,theme-and-variations,"Corelli used theme and variations form in his sonatas and concerti grossi to develop musical ideas.",0.70,0.90,pending
arcangelo-corelli-1653,modalism,"His harmonic language reflects the modal practices transitioning into tonal harmony characteristic of the late 17th century.",0.50,0.80,pending
arcangelo-corelli-1653,ostinato,"Ostinato figures appear in his compositions, providing rhythmic and harmonic repetition.",0.50,0.80,pending
marin-marais-1656,ground-bass,"Marin Marais frequently used ground bass patterns as a structural foundation in his compositions, a common Baroque practice.",0.80,0.90,pending
marin-marais-1656,counterpoint,"His works exhibit intricate counterpoint, reflecting the Baroque emphasis on polyphonic texture.",0.90,0.95,pending
marin-marais-1656,theme-and-variations,"Marais often employed theme and variations form, especially in his suites and character pieces for viola da gamba.",0.70,0.85,pending
marin-marais-1656,modalism,"His music shows use of modal scales and modal inflections typical of French Baroque style.",0.60,0.80,pending
marin-marais-1656,ostinato,"Ostinato figures appear in his compositions, providing rhythmic and harmonic drive.",0.50,0.75,pending
henry-purcell-1659,ground-bass,"Purcell frequently used ground bass patterns as a structural foundation in his compositions, notably in his chaconnes and passacaglias.",0.80,1.00,pending
henry-purcell-1659,counterpoint,"He employed counterpoint extensively, weaving independent melodic lines together in his vocal and instrumental works.",0.70,1.00,pending
henry-purcell-1659,modalism,"Purcell's music often reflects modal influences, blending Renaissance modal practices with emerging tonal harmony.",0.60,0.90,pending
henry-purcell-1659,ostinato,"He used ostinato figures to create rhythmic and harmonic repetition, especially in instrumental and vocal music.",0.50,0.90,pending
henry-purcell-1659,theme-and-variations,"Purcell composed theme and variations, developing melodic material through successive alterations.",0.40,0.80,pending
alessandro-scarlatti-1660,counterpoint,"Alessandro Scarlatti extensively used counterpoint in his vocal and instrumental compositions, reflecting the Baroque style's emphasis on polyphonic texture.",0.90,1.00,pending
alessandro-scarlatti-1660,ground-bass,"He frequently employed ground bass patterns as a structural foundation in his arias and instrumental works.",0.70,0.90,pending
alessandro-scarlatti-1660,ostinato,"Ostinato figures were used in his compositions to create rhythmic and harmonic repetition, typical of Baroque music.",0.60,0.80,pending
alessandro-scarlatti-1660,theme-and-variations,"Scarlatti used theme and variations form in some instrumental works, showcasing his skill in elaboration and ornamentation.",0.50,0.70,pending
alessandro-scarlatti-1660,modalism,"His music shows traces of modal usage, especially in early works, reflecting the transition from Renaissance to Baroque tonal language.",0.40,0.60,pending
francois-couperin-1668,counterpoint,"François Couperin extensively used counterpoint in his keyboard and chamber music, reflecting the Baroque tradition of interweaving independent melodic lines.",0.80,1.00,pending
francois-couperin-1668,theme-and-variations,"Couperin employed theme and variations in many of his harpsichord pieces, elaborating on melodic material with ornamentation and variation.",0.70,1.00,pending
francois-couperin-1668,ostinato,"He used ostinato patterns, particularly in dance movements and character pieces, to provide rhythmic and harmonic foundation.",0.50,0.90,pending
francois-couperin-1668,ground-bass,"Couperin utilized ground bass structures in some compositions, repeating a bass line as a foundation for variations above.",0.40,0.80,pending
francois-couperin-1668,modalism,"His music often reflects modal influences, blending modal and tonal elements typical of late Baroque French style.",0.30,0.70,pending
tomaso-albinoni-1671,counterpoint,"Albinoni extensively used counterpoint in his Baroque compositions, weaving independent melodic lines together.",0.90,1.00,pending
tomaso-albinoni-1671,ground-bass,"He employed ground bass patterns as a structural foundation in many of his instrumental works.",0.70,0.90,pending
tomaso-albinoni-1671,ostinato,"Ostinato figures were frequently used to create rhythmic and harmonic repetition in his music.",0.60,0.90,pending
tomaso-albinoni-1671,theme-and-variations,"Albinoni composed variations on themes, a common Baroque practice to develop musical ideas.",0.50,0.80,pending
tomaso-albinoni-1671,sonata-principle,"His instrumental works often followed early sonata principles, organizing movements with contrasting themes.",0.60,0.80,pending
tomaso-albinoni-1671,modalism,"Modal techniques influenced his harmonic language, reflecting the transition from modal to tonal systems in the Baroque era.",0.40,0.70,pending
antonio-vivaldi-1678,counterpoint,"Vivaldi extensively used counterpoint in his compositions, especially in his concertos and sacred music, to create intricate interweaving melodic lines.",0.90,1.00,pending
antonio-vivaldi-1678,ostinato,"He frequently employed ostinato patterns, particularly in the basso continuo, to provide rhythmic and harmonic foundation in his works.",0.80,1.00,pending
antonio-vivaldi-1678,ground-bass,"Vivaldi used ground bass structures in some of his compositions, repeating a bass line to underpin variations and melodic development.",0.70,0.90,pending
antonio-vivaldi-1678,theme-and-variations,"He applied theme and variations technique in several instrumental works, elaborating on a main theme through successive variations.",0.60,0.80,pending
antonio-vivaldi-1678,sonata-principle,"Vivaldi's concertos often follow the sonata principle, with clear exposition, development, and recapitulation sections.",0.70,0.90,pending
antonio-vivaldi-1678,modalism,"His music shows use of modal techniques inherited from Baroque practice, blending modal and tonal elements.",0.50,0.70,pending
antonio-vivaldi-1678,polyrhythm,"Vivaldi occasionally used polyrhythmic textures to add rhythmic complexity and drive in his fast movements.",0.40,0.60,pending
georg-philipp-telemann-1681,counterpoint,"Telemann extensively used counterpoint in his compositions, reflecting the Baroque tradition of interweaving independent melodic lines.",0.90,1.00,pending
georg-philipp-telemann-1681,cantus-firmus,"He employed cantus firmus techniques in some sacred and instrumental works, using a fixed melody as the basis for polyphonic elaboration.",0.60,0.80,pending
georg-philipp-telemann-1681,ostinato,"Telemann used ostinato patterns, especially in instrumental and dance movements, to create rhythmic and harmonic foundations.",0.50,0.70,pending
georg-philipp-telemann-1681,ground-bass,"Ground bass was a common Baroque compositional device that Telemann used to structure pieces with repeating bass lines.",0.50,0.80,pending
georg-philipp-telemann-1681,theme-and-variations,"Telemann composed works employing theme and variations, showcasing his skill in elaborating melodic material.",0.60,0.90,pending
georg-philipp-telemann-1681,modalism,"He occasionally used modal techniques, reflecting the transitional nature of Baroque harmony and his interest in older musical styles.",0.30,0.70,pending
jean-philippe-rameau-1683,counterpoint,"Rameau extensively used counterpoint in his compositions, integrating complex polyphonic textures typical of Baroque music.",0.80,1.00,pending
jean-philippe-rameau-1683,ground-bass,"He employed ground bass patterns as a structural foundation in many of his works, a common Baroque compositional device.",0.70,1.00,pending
jean-philippe-rameau-1683,theme-and-variations,"Rameau used theme and variations technique to develop musical ideas, showcasing his skill in ornamentation and variation.",0.60,0.90,pending
jean-philippe-rameau-1683,modalism,"His harmonic language often reflects modal influences, bridging Renaissance modal practice and emerging tonal harmony.",0.50,0.80,pending
jean-philippe-rameau-1683,ostinato,"Rameau utilized ostinato figures to create rhythmic and harmonic continuity in his operatic and instrumental works.",0.50,0.90,pending
jean-philippe-rameau-1683,cantus-firmus,"He occasionally incorporated cantus firmus techniques, embedding fixed melodic lines within contrapuntal textures.",0.30,0.70,pending
alessandro-marcello-1684,counterpoint,"Alessandro Marcello extensively used counterpoint, a hallmark of Baroque composition, to create intricate interweaving melodic lines.",0.90,1.00,pending
alessandro-marcello-1684,ground-bass,"He employed ground bass patterns, especially in his instrumental works, to provide a repeating harmonic foundation.",0.70,0.90,pending
alessandro-marcello-1684,theme-and-variations,"Marcello used theme and variations technique, notably in his slow movements, to develop melodic material with expressive elaboration.",0.60,0.80,pending
alessandro-marcello-1684,modalism,"His compositions reflect modal influences typical of early Baroque style, blending modal and tonal elements.",0.50,0.70,pending
domenico-scarlatti-1685,counterpoint,"Domenico Scarlatti extensively used counterpoint in his keyboard sonatas, reflecting Baroque compositional practices.",0.80,1.00,pending
domenico-scarlatti-1685,ostinato,"He frequently employed ostinato patterns, especially in repeated bass or melodic figures to create rhythmic drive.",0.60,0.90,pending
domenico-scarlatti-1685,theme-and-variations,"Scarlatti's sonatas often explore variations on thematic material within single movements.",0.50,0.80,pending
domenico-scarlatti-1685,modalism,"Some of his works incorporate modal elements, reflecting older musical traditions alongside emerging tonal harmony.",0.30,0.70,pending
johann-sebastian-bach-1685,counterpoint,"Bach is renowned for his mastery of counterpoint, especially in fugues and complex polyphonic textures.",1.00,1.00,pending
johann-sebastian-bach-1685,cantus-firmus,"He frequently used cantus firmus technique, embedding a fixed melody as the basis for contrapuntal elaboration.",0.80,0.90,pending
johann-sebastian-bach-1685,ostinato,"Bach employed ostinato patterns, particularly in his chaconnes and passacaglias, to create repeating harmonic and rhythmic foundations.",0.70,0.90,pending
johann-sebastian-bach-1685,ground-bass,"He used ground bass extensively, especially in works like the Passacaglia in C minor, where a repeating bass line underpins variations.",0.80,0.95,pending
johann-sebastian-bach-1685,theme-and-variations,"Bach composed many works based on theme and variations, elaborating a melodic idea through successive transformations.",0.70,0.90,pending
johann-sebastian-bach-1685,modalism,"His music often reflects modal influences, especially in chorales and early works, blending modal and tonal elements.",0.50,0.80,pending
george-frideric-handel-1685,counterpoint,"Handel extensively used counterpoint in his choral and instrumental works, weaving independent melodic lines together to create rich textures.",0.90,1.00,pending
george-frideric-handel-1685,ground-bass,"He employed ground bass patterns as a structural foundation in many compositions, notably in his chaconnes and passacaglias.",0.70,0.90,pending
