from,to,reason,strength,confidence,divergence,status
giovanni-pierluigi-da-palestrina-1525,tomas-luis-de-victoria-1549,"Victoria was heavily influenced by Palestrina's style of polyphony and sacred music, adopting his smooth counterpoint and clarity in vocal lines.",0.90,1.00,0.20,pending
orlande-de-lassus-1532,tomas-luis-de-victoria-1549,"Victoria was influenced by Lassus's expressive madrigals and sacred compositions, which informed his own emotional depth and text setting.",0.70,0.90,0.30,pending
josquin-des-prez-1450,tomas-luis-de-victoria-1549,"Josquin's mastery of imitative counterpoint and text expression shaped the Renaissance polyphonic tradition that Victoria inherited.",0.60,0.80,0.40,pending
thomas-tallis-1505,tomas-luis-de-victoria-1549,"Tallis's English choral tradition and use of modal harmony influenced Victoria's sacred music style and compositional techniques.",0.50,0.70,0.40,pending
josquin-des-prez-1450,carlo-gesualdo-1561,"Gesualdo was influenced by Josquin's use of expressive text setting and complex polyphony, which informed his own madrigal compositions.",0.70,0.90,0.50,pending
giovanni-pierluigi-da-palestrina-1525,carlo-gesualdo-1561,"Palestrina's mastery of counterpoint and sacred music provided a foundation for Gesualdo's contrapuntal techniques, despite Gesualdo's more experimental harmonic language.",0.60,0.85,0.60,pending
orlande-de-lassus-1532,carlo-gesualdo-1561,"Lassus's expressive madrigals and chromaticism influenced Gesualdo's own madrigal style and harmonic experimentation.",0.70,0.80,0.50,pending
claudio-monteverdi-1567,carlo-gesualdo-1561,"Though Monteverdi was slightly younger, their contemporaneous work and Monteverdi's early madrigals show mutual influence in the use of chromaticism and emotional expression.",0.40,0.70,0.40,pending
josquin-des-prez-1450,jan-pieterszoon-sweelinck-1562,"Sweelinck was influenced by Josquin's mastery of polyphony and expressive vocal writing, which shaped his own contrapuntal style.",0.70,0.90,0.40,pending
giovanni-pierluigi-da-palestrina-1525,jan-pieterszoon-sweelinck-1562,"Palestrina's clear polyphonic style and smooth voice leading influenced Sweelinck's sacred compositions and contrapuntal technique.",0.60,0.85,0.50,pending
orlande-de-lassus-1532,jan-pieterszoon-sweelinck-1562,"Lassus's diverse stylistic approach and expressive madrigals impacted Sweelinck's vocal and keyboard works.",0.50,0.80,0.60,pending
william-byrd-1540,jan-pieterszoon-sweelinck-1562,"Byrd's keyboard and vocal music, especially his use of intricate counterpoint, influenced Sweelinck's development as an organist and composer.",0.60,0.80,0.40,pending
thomas-tallis-1505,jan-pieterszoon-sweelinck-1562,"Tallis's English choral tradition and modal polyphony were important models for Sweelinck's sacred music.",0.50,0.75,0.50,pending
william-byrd-1540,john-dowland-1563,"William Byrd was a leading English composer whose madrigals and lute songs influenced Dowland's own vocal and lute compositions.",0.80,0.90,0.30,pending
thomas-tallis-1505,john-dowland-1563,"Thomas Tallis, as a prominent English composer of the previous generation, shaped the English musical environment and style that Dowland inherited.",0.70,0.85,0.40,pending
jan-pieterszoon-sweelinck-1562,john-dowland-1563,"Sweelinck's keyboard and vocal works influenced the development of lute music and polyphony that Dowland absorbed during his studies in Europe.",0.60,0.80,0.50,pending
orlande-de-lassus-1532,john-dowland-1563,"Orlande de Lassus was a major figure in late Renaissance music whose expressive madrigals and chansons influenced Dowland's approach to text setting and melancholy themes.",0.70,0.80,0.40,pending
giovanni-pierluigi-da-palestrina-1525,john-dowland-1563,"Palestrina's mastery of polyphonic vocal writing provided a stylistic foundation for many Renaissance composers including Dowland, especially in sacred music.",0.50,0.70,0.60,pending
giovanni-pierluigi-da-palestrina-1525,claudio-monteverdi-1567,"Palestrina's mastery of Renaissance polyphony deeply influenced Monteverdi's early sacred compositions and contrapuntal technique.",0.80,0.90,0.40,pending
orlande-de-lassus-1532,claudio-monteverdi-1567,"Lassus's expressive madrigals and blending of styles influenced Monteverdi's development of the madrigal genre.",0.70,0.85,0.50,pending
carlo-gesualdo-1561,claudio-monteverdi-1567,"Gesualdo's intense chromaticism and emotional expressiveness impacted Monteverdi's approach to text setting and harmonic daring.",0.60,0.80,0.60,pending
jan-pieterszoon-sweelinck-1562,claudio-monteverdi-1567,"Sweelinck's keyboard works and contrapuntal style influenced Monteverdi's instrumental and vocal polyphony.",0.50,0.70,0.50,pending
thomas-tallis-1505,claudio-monteverdi-1567,"Tallis's sacred music and use of modal counterpoint provided a foundation for Monteverdi's early sacred compositions.",0.40,0.70,0.60,pending
giovanni-pierluigi-da-palestrina-1525,michael-praetorius-1571,"Praetorius was influenced by Palestrina's polyphonic style and sacred music, which shaped his own compositions in the early Baroque period.",0.80,0.90,0.30,pending
orlande-de-lassus-1532,michael-praetorius-1571,"Orlande de Lassus's expressive madrigals and sacred works influenced Praetorius's approach to vocal and choral music.",0.70,0.85,0.40,pending
william-byrd-1540,michael-praetorius-1571,"Byrd's English Renaissance polyphony and keyboard works were known to Praetorius and influenced his compositional style.",0.60,0.80,0.50,pending
jan-pieterszoon-sweelinck-1562,michael-praetorius-1571,"Sweelinck's keyboard and vocal music, as well as his role as a teacher, had a notable impact on Praetorius's musical development.",0.70,0.80,0.40,pending
jan-pieterszoon-sweelinck-1562,girolamo-frescobaldi-1583,"Sweelinck's keyboard works and contrapuntal style significantly influenced Frescobaldi's approach to keyboard composition and improvisation.",0.80,0.90,0.30,pending
claudio-monteverdi-1567,girolamo-frescobaldi-1583,"Monteverdi's innovations in expressive harmony and text setting influenced Frescobaldi's dramatic and expressive keyboard music.",0.60,0.80,0.50,pending
giovanni-pierluigi-da-palestrina-1525,girolamo-frescobaldi-1583,"Palestrina's mastery of counterpoint and clarity of polyphonic texture provided a foundational influence on Frescobaldi's compositional technique.",0.50,0.70,0.60,pending
thomas-tallis-1505,orlando-gibbons-1583,"Tallis was a leading English composer whose sacred polyphony and style directly influenced Gibbons's choral and keyboard works.",0.90,0.95,0.30,pending
william-byrd-1540,orlando-gibbons-1583,"Byrd was a close contemporary and mentor figure whose mastery of English madrigals and sacred music shaped Gibbons's compositional approach.",0.85,0.90,0.25,pending
giovanni-pierluigi-da-palestrina-1525,orlando-gibbons-1583,"Palestrina's Renaissance polyphonic style influenced English composers including Gibbons, especially in sacred vocal music.",0.60,0.80,0.50,pending
jan-pieterszoon-sweelinck-1562,orlando-gibbons-1583,"Sweelinck's keyboard works and contrapuntal techniques influenced Gibbons's keyboard compositions and contrapuntal style.",0.70,0.85,0.40,pending
giovanni-pierluigi-da-palestrina-1525,heinrich-schutz-1585,"Schütz studied the polyphonic style of Palestrina, which deeply influenced his sacred music compositions.",0.80,0.90,0.30,pending
orlande-de-lassus-1532,heinrich-schutz-1585,"Lassus's expressive madrigals and sacred works influenced Schütz's approach to text setting and emotional expression.",0.70,0.80,0.40,pending
claudio-monteverdi-1567,heinrich-schutz-1585,"Monteverdi's early Baroque innovations in harmony and dramatic expression impacted Schütz during his studies in Italy.",0.90,0.95,0.50,pending
jan-pieterszoon-sweelinck-1562,heinrich-schutz-1585,"Sweelinck's keyboard and vocal works influenced Schütz's contrapuntal technique and compositional style.",0.60,0.70,0.40,pending
michael-praetorius-1571,heinrich-schutz-1585,"Praetorius's synthesis of Protestant musical traditions and his theoretical writings informed Schütz's sacred music approach.",0.70,0.75,0.30,pending
claudio-monteverdi-1567,jean-baptiste-lully-1632,"Monteverdi's innovations in opera and dramatic music significantly shaped the development of French Baroque opera, influencing Lully's compositional style and theatrical approach.",0.80,0.90,0.40,pending
girolamo-frescobaldi-1583,jean-baptiste-lully-1632,"Frescobaldi's keyboard works and expressive style influenced Lully's instrumental compositions and his approach to rhythm and ornamentation.",0.60,0.80,0.50,pending
heinrich-schutz-1585,jean-baptiste-lully-1632,"Schütz's mastery of early Baroque vocal music and his use of dramatic expression impacted Lully's vocal writing and sacred music style.",0.50,0.70,0.60,pending
claudio-monteverdi-1567,marc-antoine-charpentier-1636,"Monteverdi's pioneering Baroque style and use of expressive vocal lines influenced Charpentier's sacred and secular compositions.",0.80,0.90,0.30,pending
jean-baptiste-lully-1632,marc-antoine-charpentier-1636,"Lully's dominance in French Baroque music and court style shaped Charpentier's approach to French opera and sacred music.",0.70,0.85,0.40,pending
heinrich-schutz-1585,marc-antoine-charpentier-1636,"Schütz's integration of Italian Baroque elements into German sacred music influenced Charpentier's own sacred compositions.",0.50,0.70,0.50,pending
jan-pieterszoon-sweelinck-1562,dietrich-buxtehude-1637,"Sweelinck was a major influence on Buxtehude's organ and vocal compositions, especially in the North German organ tradition.",0.90,1.00,0.30,pending
heinrich-schutz-1585,dietrich-buxtehude-1637,"Schütz's sacred vocal style and use of expressive text setting influenced Buxtehude's church music compositions.",0.70,0.90,0.40,pending
girolamo-frescobaldi-1583,dietrich-buxtehude-1637,"Frescobaldi's keyboard works and innovative use of form and ornamentation impacted Buxtehude's organ compositions.",0.60,0.80,0.50,pending
claudio-monteverdi-1567,dietrich-buxtehude-1637,"Monteverdi's early Baroque innovations in vocal music and dramatic expression influenced Buxtehude's sacred vocal works.",0.50,0.70,0.60,pending
heinrich-schutz-1585,heinrich-franz-von-biber-1644,"Heinrich Schütz was a major influence on Biber, especially in sacred music and the use of expressive text setting and polychoral techniques.",0.90,0.95,0.30,pending
claudio-monteverdi-1567,heinrich-franz-von-biber-1644,"Monteverdi's innovations in early Baroque style and expressive vocal writing influenced Biber's approach to composition and instrumental music.",0.70,0.85,0.40,pending
girolamo-frescobaldi-1583,heinrich-franz-von-biber-1644,"Frescobaldi's keyboard works and use of ornamentation and affective expression influenced Biber's instrumental writing and violin techniques.",0.60,0.80,0.50,pending
jan-pieterszoon-sweelinck-1562,johann-pachelbel-1653,"Pachelbel studied with Sweelinck's students and was influenced by Sweelinck's keyboard techniques and contrapuntal style.",0.80,0.90,0.30,pending
heinrich-schutz-1585,johann-pachelbel-1653,"Schütz's sacred music and use of expressive harmony influenced Pachelbel's church compositions.",0.70,0.80,0.40,pending
dietrich-buxtehude-1637,johann-pachelbel-1653,"Buxtehude's organ works and baroque style had a notable impact on Pachelbel's keyboard compositions.",0.70,0.85,0.40,pending
girolamo-frescobaldi-1583,johann-pachelbel-1653,"Frescobaldi's innovative keyboard music influenced Pachelbel's approach to organ and harpsichord compositions.",0.60,0.70,0.50,pending
giovanni-pierluigi-da-palestrina-1525,arcangelo-corelli-1653,"Corelli was influenced by Palestrina's clear polyphonic style and contrapuntal techniques, which shaped his approach to harmony and voice leading.",0.70,0.90,0.40,pending
claudio-monteverdi-1567,arcangelo-corelli-1653,"Monteverdi's innovations in expressive melody and basso continuo practice influenced Corelli's development of the Baroque concerto and sonata forms.",0.60,0.85,0.50,pending
girolamo-frescobaldi-1583,arcangelo-corelli-1653,"Frescobaldi's keyboard works and use of ornamentation and expressive rhythm informed Corelli's stylistic choices in instrumental music.",0.50,0.80,0.50,pending
heinrich-franz-von-biber-1644,arcangelo-corelli-1653,"Biber's virtuosic violin techniques and exploration of instrumental color influenced Corelli's violin compositions and technical demands.",0.60,0.75,0.40,pending
jean-baptiste-lully-1632,arcangelo-corelli-1653,"Lully's orchestral style and dance rhythms contributed to Corelli's development of the concerto grosso and his rhythmic vitality.",0.50,0.70,0.50,pending
jean-baptiste-lully-1632,marin-marais-1656,"Lully was a dominant figure in French Baroque music and greatly influenced Marais's style, especially in his operatic and court music compositions.",0.90,1.00,0.30,pending
marc-antoine-charpentier-1636,marin-marais-1656,"Charpentier's sacred and chamber music styles influenced Marais's compositional approach and use of harmony.",0.70,0.90,0.40,pending
dietrich-buxtehude-1637,marin-marais-1656,"Buxtehude's instrumental and organ music had an impact on Marais's development as a viol player and composer.",0.60,0.80,0.50,pending
claudio-monteverdi-1567,henry-purcell-1659,"Monteverdi's innovations in expressive vocal writing and early Baroque style influenced Purcell's approach to opera and vocal music.",0.70,0.90,0.40,pending
orlando-gibbons-1583,henry-purcell-1659,"Gibbons' English keyboard and choral music laid foundational stylistic elements that Purcell developed further in his compositions.",0.60,0.85,0.30,pending
giovanni-pierluigi-da-palestrina-1525,henry-purcell-1659,"Palestrina's mastery of counterpoint influenced the English choral tradition that Purcell inherited and expanded.",0.50,0.80,0.50,pending
jan-pieterszoon-sweelinck-1562,henry-purcell-1659,"Sweelinck's keyboard works and contrapuntal style influenced Purcell's organ and harpsichord compositions.",0.60,0.85,0.40,pending
dietrich-buxtehude-1637,henry-purcell-1659,"Buxtehude's organ and vocal music influenced Purcell's harmonic language and use of expressive dissonance.",0.50,0.75,0.50,pending
jean-baptiste-lully-1632,henry-purcell-1659,"Lully's French Baroque style and operatic innovations influenced Purcell's theatrical and court music.",0.60,0.80,0.50,pending
claudio-monteverdi-1567,alessandro-scarlatti-1660,"Monteverdi's pioneering work in early Baroque vocal music and opera significantly shaped the development of Italian Baroque style, which Scarlatti further developed.",0.80,0.90,0.30,pending
giovanni-pierluigi-da-palestrina-1525,alessandro-scarlatti-1660,"Palestrina's mastery of Renaissance polyphony influenced the sacred music tradition that Scarlatti inherited and adapted in his own compositions.",0.60,0.80,0.50,pending
arcangelo-corelli-1653,alessandro-scarlatti-1660,"Corelli's development of the concerto grosso and sonata forms influenced Scarlatti's instrumental writing and the Italian Baroque style.",0.70,0.85,0.40,pending
heinrich-schutz-1585,alessandro-scarlatti-1660,"Schütz's synthesis of Italian and German Baroque styles provided a model for expressive vocal and sacred music that impacted Scarlatti's compositions.",0.50,0.70,0.60,pending
jean-baptiste-lully-1632,alessandro-scarlatti-1660,"Lully's establishment of French Baroque opera and orchestral style influenced the broader European operatic tradition that Scarlatti engaged with.",0.40,0.60,0.70,pending
jean-baptiste-lully-1632,francois-couperin-1668,"Lully's establishment of the French Baroque style and court music traditions deeply influenced Couperin's compositional approach and style.",0.90,0.95,0.30,pending
marc-antoine-charpentier-1636,francois-couperin-1668,"Charpentier's sacred music and use of expressive harmony influenced Couperin's keyboard and chamber music compositions.",0.70,0.85,0.40,pending
girolamo-frescobaldi-1583,francois-couperin-1668,"Frescobaldi's keyboard works and ornamentation practices were important models for Couperin's harpsichord music.",0.80,0.90,0.35,pending
dietrich-buxtehude-1637,francois-couperin-1668,"Buxtehude's organ and harpsichord compositions influenced Couperin's contrapuntal and expressive keyboard style.",0.60,0.80,0.50,pending
arcangelo-corelli-1653,tomaso-albinoni-1671,"Corelli's development of the concerto grosso and sonata forms strongly influenced Albinoni's instrumental compositions, especially his concertos and sonatas.",0.90,0.95,0.30,pending
heinrich-schutz-1585,tomaso-albinoni-1671,"Schütz's early Baroque style and use of expressive vocal lines influenced the Italian Baroque tradition that Albinoni was part of.",0.50,0.70,0.50,pending
girolamo-frescobaldi-1583,tomaso-albinoni-1671,"Frescobaldi's keyboard works and innovations in Baroque instrumental music shaped the stylistic environment that influenced Albinoni's compositions.",0.60,0.75,0.40,pending
alessandro-scarlatti-1660,tomaso-albinoni-1671,"Scarlatti's operatic and instrumental style, particularly his development of the da capo aria and concerto form, influenced Albinoni's melodic and formal approach.",0.70,0.85,0.35,pending
arcangelo-corelli-1653,antonio-vivaldi-1678,"Corelli's development of the concerto grosso and violin technique strongly influenced Vivaldi's violin concertos and compositional style.",0.90,0.95,0.30,pending
girolamo-frescobaldi-1583,antonio-vivaldi-1678,"Frescobaldi's keyboard works and innovative use of rhythm and ornamentation influenced Vivaldi's approach to instrumental music.",0.60,0.80,0.50,pending
heinrich-schutz-1585,antonio-vivaldi-1678,"Schütz's sacred music and use of expressive text setting impacted Vivaldi's sacred vocal compositions.",0.50,0.70,0.60,pending
claudio-monteverdi-1567,antonio-vivaldi-1678,"Monteverdi's pioneering work in early Baroque vocal and instrumental music laid foundational stylistic elements that Vivaldi expanded upon.",0.70,0.90,0.40,pending
alessandro-scarlatti-1660,antonio-vivaldi-1678,"Scarlatti's operatic and cantata style influenced Vivaldi's vocal writing and dramatic expression.",0.70,0.85,0.40,pending
heinrich-schutz-1585,georg-philipp-telemann-1681,"Heinrich Schütz was a major influence on Telemann's early compositional style, especially in sacred music and the use of German Baroque idioms.",0.80,0.90,0.30,pending
dietrich-buxtehude-1637,georg-philipp-telemann-1681,"Buxtehude's organ and vocal works influenced Telemann's approach to counterpoint and church music.",0.70,0.85,0.40,pending
arcangelo-corelli-1653,georg-philipp-telemann-1681,"Corelli's violin sonatas and concerti grossi shaped Telemann's instrumental writing and his adoption of Italian styles.",0.75,0.85,0.35,pending
jean-baptiste-lully-1632,georg-philipp-telemann-1681,"Lully's French Baroque style influenced Telemann's orchestration and dance forms, reflecting his cosmopolitan style.",0.60,0.80,0.50,pending
heinrich-franz-von-biber-1644,georg-philipp-telemann-1681,"Biber's virtuosic violin techniques and expressive style impacted Telemann's string writing.",0.50,0.70,0.50,pending
johann-pachelbel-1653,georg-philipp-telemann-1681,"Pachelbel's keyboard and chamber music influenced Telemann's contrapuntal and harmonic language.",0.60,0.75,0.40,pending
jean-baptiste-lully-1632,jean-philippe-rameau-1683,"Lully was the dominant figure in French Baroque music and opera, shaping the French style that Rameau inherited and developed further.",0.90,1.00,0.30,pending
marc-antoine-charpentier-1636,jean-philippe-rameau-1683,"Charpentier's sacred music and harmonic language influenced Rameau's approach to harmony and composition.",0.60,0.80,0.40,pending
arcangelo-corelli-1653,jean-philippe-rameau-1683,"Corelli's violin sonatas and concerti grossi contributed to the development of Baroque instrumental style that Rameau absorbed.",0.50,0.70,0.50,pending
girolamo-frescobaldi-1583,jean-philippe-rameau-1683,"Frescobaldi's keyboard works influenced Rameau's keyboard compositions and his understanding of counterpoint and ornamentation.",0.50,0.70,0.50,pending
arcangelo-corelli-1653,alessandro-marcello-1684,"Corelli's violin sonatas and concerti grossi established a model for Baroque instrumental music that influenced Marcello's own compositions, especially in form and style.",0.80,0.90,0.30,pending
alessandro-scarlatti-1660,alessandro-marcello-1684,"Alessandro Scarlatti's vocal and instrumental works shaped the Italian Baroque style that Marcello inherited and adapted in his own compositions.",0.70,0.85,0.40,pending
johann-pachelbel-1653,alessandro-marcello-1684,"Pachelbel's keyboard and chamber music influenced the contrapuntal and harmonic language found in Marcello's keyboard and instrumental works.",0.60,0.80,0.50,pending
heinrich-schutz-1585,alessandro-marcello-1684,"Schütz's mastery of expressive vocal writing and early Baroque idioms contributed to the broader Baroque tradition that informed Marcello's style.",0.50,0.70,0.60,pending
alessandro-scarlatti-1660,domenico-scarlatti-1685,"Alessandro Scarlatti, Domenico's father, was a major influence on his early musical education and compositional style, especially in vocal and instrumental forms.",0.90,1.00,0.30,pending
arcangelo-corelli-1653,domenico-scarlatti-1685,"Corelli's violin sonatas and concerto grosso forms influenced the Baroque style and instrumental techniques that Domenico adopted and adapted in his keyboard sonatas.",0.70,0.90,0.40,pending
giovanni-pierluigi-da-palestrina-1525,domenico-scarlatti-1685,"Palestrina's contrapuntal mastery and sacred music tradition indirectly influenced the Italian Baroque style that shaped Scarlatti's compositional foundation.",0.40,0.70,0.70,pending
jean-baptiste-lully-1632,domenico-scarlatti-1685,"Lully's French Baroque style and dance rhythms influenced the stylistic elements found in some of Scarlatti's keyboard sonatas, especially those composed during his time in Spain and Portugal.",0.50,0.80,0.50,pending
georg-philipp-telemann-1681,domenico-scarlatti-1685,"Telemann's prolific output and blending of national styles paralleled and influenced the cosmopolitan Baroque idiom that Scarlatti also embraced.",0.40,0.60,0.60,pending
johann-sebastian-bach-1685,domenico-scarlatti-1685,"Bach's contrapuntal techniques and keyboard works were contemporaneous influences that shaped the complexity and inventiveness of Scarlatti's sonatas.",0.80,0.90,0.40,pending
george-frideric-handel-1685,domenico-scarlatti-1685,"Handel's operatic and instrumental style influenced the dramatic and virtuosic elements in Scarlatti's keyboard compositions.",0.60,0.80,0.50,pending
dietrich-buxtehude-1637,johann-sebastian-bach-1685,"Bach famously studied with and was deeply influenced by Buxtehude's organ and compositional style, especially in his early years.",0.90,1.00,0.30,pending
heinrich-schutz-1585,johann-sebastian-bach-1685,"Schütz's mastery of early Baroque vocal and choral techniques influenced Bach's sacred music compositions.",0.70,0.90,0.40,pending
johann-pachelbel-1653,johann-sebastian-bach-1685,"Pachelbel's keyboard and compositional style, especially his chorale preludes, influenced Bach's early keyboard works.",0.80,0.95,0.30,pending
arcangelo-corelli-1653,johann-sebastian-bach-1685,"Corelli's development of the concerto grosso and violin technique influenced Bach's instrumental and orchestral writing.",0.70,0.85,0.40,pending
girolamo-frescobaldi-1583,johann-sebastian-bach-1685,"Frescobaldi's keyboard works and innovations in counterpoint and ornamentation influenced Bach's organ and harpsichord compositions.",0.75,0.90,0.35,pending
georg-philipp-telemann-1681,johann-sebastian-bach-1685,"Telemann, a contemporary and friend, influenced Bach through shared musical ideas and the popular styles of the time.",0.60,0.80,0.50,pending
claudio-monteverdi-1567,johann-sebastian-bach-1685,"Monteverdi's early Baroque innovations in vocal music and dramatic expression influenced the development of Bach's sacred vocal works.",0.50,0.70,0.60,pending
arcangelo-corelli-1653,george-frideric-handel-1685,"Handel was heavily influenced by Corelli's violin sonatas and concerto grosso style, which shaped his own instrumental compositions.",0.90,0.95,0.30,pending
jean-baptiste-lully-1632,george-frideric-handel-1685,"Handel adopted elements of Lully's French operatic and orchestral style during his time in Italy and England.",0.70,0.90,0.40,pending
heinrich-schutz-1585,george-frideric-handel-1685,"Schütz's sacred music and use of expressive text setting influenced Handel's oratorios and choral works.",0.60,0.85,0.50,pending
giovanni-pierluigi-da-palestrina-1525,george-frideric-handel-1685,"Handel was influenced by Palestrina's polyphonic vocal style, especially in his sacred choral compositions.",0.50,0.80,0.60,pending
georg-philipp-telemann-1681,george-frideric-handel-1685,"Telemann and Handel were contemporaries with mutual influence, but Telemann's prolific output and style influenced Handel's approach to orchestration and form.",0.50,0.70,0.40,pending
alessandro-scarlatti-1660,george-frideric-handel-1685,"Scarlatti's Italian operatic style and da capo aria form were important models for Handel's operas.",0.80,0.90,0.30,pending
